Modulation,SNR,Frequency
BPSK,10,1
QPSK,15,2
8PSK,20,3
16QAM,25,4
64QAM,30,5
OOK,12,1.5
CPFSK,18,3.5
GFSK,22,4.5
PAM4,28,5.5
QAM16,32,6
APSK,27,4
QAM64,35,7
QAM256,40,8
PSK8,18,2.2
PSK16,22,3
PSK32,26,3.5
PSK64,30,4
PSK128,34,4.5
PSK256,38,5
16APSK,30,7
32APSK,35,8
GMSK,20,9
OFDM,25,10
DQPSK,15,11
FSK,12,12
MSK,10,13
QAM1024,40,14
OQPSK,16,15
SC-FDMA,18,16
VSB,22,17
WBFM,24,18
PDM,12,19
ASK,28,20
QAM512,32,21
PULSE AMPLITUDE,34,22
PULSE WIDTH,36,23
PULSE POSITION,38,24
BFSK,10,25
BFSK,12,26
BFSK,14,27
BFSK,16,28
BFSK,18,29
BFSK,20,30
BFSK,22,31
BFSK,24,32
BFSK,26,33
BFSK,28,34
BFSK,30,35
BFSK,32,36
BFSK,34,37
BFSK,36,38
BFSK,38,39
BFSK,40,40
BFSK,42,41
BFSK,44,42
BFSK,46,43
BFSK,48,44
BFSK,50,45
BFSK,52,46
BFSK,54,47
BFSK,56,48
BFSK,58,49
BFSK,60,50
BFSK,62,51
BFSK,64,52
BFSK,66,53
BFSK,68,54
BFSK,70,55
BFSK,72,56
BFSK,74,57
BFSK,76,58
BFSK,78,59
BFSK,80,60
BFSK,82,61
BFSK,84,62
BFSK,86,63
BFSK,88,64
BFSK,90,65
BFSK,92,66
BFSK,94,67
BFSK,96,68
BFSK,98,69
BFSK,100,70
BFSK,102,71
BFSK,104,72
BFSK,106,73
BFSK,108,74
BFSK,110,75
BFSK,112,76
BFSK,114,77
BFSK,116,78
BFSK,118,79
BFSK,120,80
BFSK,122,81
BFSK,124,82
BFSK,126,83
